Round,Words,Student,Gender,Languages
0,0,1,M,1
1,4,1,M,1
2,6,1,M,1
3,7,1,M,1
4,9,1,M,1
5,10,1,M,1
6,10,1,M,1
7,12,1,M,1
8,11,1,M,1
9,14,1,M,1
10,16,1,M,1
0,0,2,F,3
1,6,2,F,3
2,8,2,F,3
3,11,2,F,3
4,14,2,F,3
5,16,2,F,3
6,20,2,F,3
7,20,2,F,3
8,20,2,F,3
9,20,2,F,3
10,20,2,F,3
0,0,3,F,2
1,5,3,F,2
2,6,3,F,2
3,8,3,F,2
4,10,3,F,2
5,15,3,F,2
6,12,3,F,2
7,15,3,F,2
8,17,3,F,2
9,18,3,F,2
10,18,3,F,2
0,0,4,NB,1
1,4,4,NB,1
2,5,4,NB,1
3,6,4,NB,1
4,6,4,NB,1
5,7,4,NB,1
6,8,4,NB,1
7,9,4,NB,1
8,11,4,NB,1
9,13,4,NB,1
10,15,4,NB,1
0,0,5,M,1
1,4,5,M,1
2,5,5,M,1
3,6,5,M,1
4,8,5,M,1
5,10,5,M,1
6,10,5,M,1
7,11,5,M,1
8,9,5,M,1
9,10,5,M,1
10,12,5,M,1
0,0,6,M,4
1,6,6,M,4
2,6,6,M,4
3,8,6,M,4
4,9,6,M,4
5,9,6,M,4
6,10,6,M,4
7,12,6,M,4
8,10,6,M,4
9,11,6,M,4
10,13,6,M,4
0,0,7,NB,2
1,6,7,NB,2
2,6,7,NB,2
3,9,7,NB,2
4,11,7,NB,2
5,11,7,NB,2
6,15,7,NB,2
7,15,7,NB,2
8,16,7,NB,2
9,19,7,NB,2
10,20,7,NB,2
0,0,8,M,1
1,6,8,M,1
2,7,8,M,1
3,7,8,M,1
4,9,8,M,1
5,8,8,M,1
6,10,8,M,1
7,11,8,M,1
8,11,8,M,1
9,13,8,M,1
10,14,8,M,1
0,0,9,F,2
1,5,9,F,2
2,6,9,F,2
3,7,9,F,2
4,9,9,F,2
5,9,9,F,2
6,11,9,F,2
7,12,9,F,2
8,12,9,F,2
9,15,9,F,2
10,17,9,F,2
0,0,10,M,1
1,4,10,M,1
2,8,10,M,1
3,9,10,M,1
4,10,10,M,1
5,14,10,M,1
6,14,10,M,1
7,18,10,M,1
8,18,10,M,1
9,19,10,M,1
10,19,10,M,1
0,0,11,F,5
1,1,11,F,5
2,6,11,F,5
3,8,11,F,5
4,10,11,F,5
5,12,11,F,5
6,13,11,F,5
7,15,11,F,5
8,18,11,F,5
9,17,11,F,5
10,18,11,F,5
0,0,12,M,1
1,5,12,M,1
2,7,12,M,1
3,7,12,M,1
4,10,12,M,1
5,11,12,M,1
6,11,12,M,1
7,15,12,M,1
8,14,12,M,1
9,15,12,M,1
10,16,12,M,1